Status,Listing ID,Full Street Address,List Price,Subdivision/Neighborhood,Style,Structure Type,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,DOM,CDOM,Close Date,Close Price,Concessions Amt 
Coming Soon,MDMC2002748,10002 Grant Ave,"$587,918 ",CAPITOL VIEW PARK,Colonial,Detached,3,2,1,3,,Yes,6521,1981,0,0,,,
Coming Soon,MDHW2000630,9702 Gwynn Park Dr,"$595,000 ",GWYNN ACRES,Ranch/Rambler,Detached,4,3,1,2,0,Yes,20037,1964,0,0,,,
Coming Soon,MDMC757246,10019 Greenock Rd,"$599,000 ",COUNTRY CLUB,Cape Cod,Detached,4,2,,3,1,Yes,5009,1956,0,0,,,
Coming Soon,MDHW2000726,6205 Bright Plume,"$599,900 ",VILLAGE OF HICKORY RIDGE,Colonial,Detached,4,2,1,3,1,Yes,8400,1978,0,0,,,
Coming Soon,MDCR205098,6288 Belmont Cir,"$599,999 ",THE PADDOCKS,"Colonial, Farmhouse/National Folk",Detached,3,2,1,3,3,Yes,87120,1900,0,0,,,
Coming Soon,MDAA471788,1874 Disney Estates Cir,"$599,999 ",DISNEY ESTATES,Colonial,Detached,4,2,2,3,1,Yes,10780,1995,0,0,,,
Coming Soon,MDHW2000572,6015 Charles Edward Ter,"$610,000 ",ECKERS HOLLOW,Colonial,Detached,5,3,1,3,1,Yes,6617,2002,0,0,,,
Coming Soon,MDAA2001140,8411 Spring Creek Way,"$610,000 ",NONE AVAILABLE,Colonial,Detached,4,2,1,3,1,Yes,6781,2018,0,0,,,
Coming Soon,MDAA2000944,8204 Tributary Pl,"$619,900 ",RUSSETT,Colonial,Detached,4,3,1,2,1,Yes,9451,2000,0,0,,,
Coming Soon,MDMC760576,20005 Yellow Leaf Ter,"$624,900 ",BLUNT COMMONS,Colonial,Detached,3,3,1,3,1,Yes,11481,1997,0,0,,,
Coming Soon,MDHW2000706,8632 Goldenstraw Ln,"$624,999 ",LONG REACH,Colonial,Detached,4,3,1,3,1,Yes,16204,1991,0,0,,,
Coming Soon,MDMC2001442,1904 Dayton St,"$625,000 ",GLENVIEW,Ranch/Rambler,Detached,3,2,,1,1,No,6650,1950,0,0,,,
Coming Soon,MDHW295938,6920 Newberry Dr,"$625,000 ",RIVER GLEN,Colonial,Detached,5,2,,2,1,Yes,8762,1990,0,0,,,
Coming Soon,MDHW296258,545 Route 32,"$625,000 ",SYKESVILLE,Colonial,Detached,5,4,,3,2,Yes,77972,1970,0,0,,,
Coming Soon,MDHW2000592,9401 White Spring Way,"$630,000 ",VILLAGE OF KINGS CONTRIVANCE,Split Level,Detached,4,3,,3,1,No,49658,1980,0,0,,,
Coming Soon,MDHW2000586,6478 Empty Song Rd,"$639,900 ",VILLAGE OF RIVER HILL,Colonial,Detached,4,3,1,3,1,Yes,5119,1995,0,0,,,
Coming Soon,MDBC532874,9 Franklin Tree Ct,"$645,000 ",PATAPSCO WOODS,Contemporary,Detached,4,3,1,3,1,Yes,14209,1989,0,0,,,
Coming Soon,MDMC763180,223 Church Gate Ln,"$648,000 ",QUINCE ORCHARD PARK,Colonial,Detached,3,3,1,3,1,Yes,2707,1998,0,0,,,
Coming Soon,MDHW2000654,3731 Valerie Carol Ct,"$649,000 ",GRAY ROCK FARM,Raised Ranch/Rambler,Detached,3,3,,2,1,Yes,23238,1988,0,0,,,
Coming Soon,MDHW2000206,8409 Jenn Nicole Ct,"$650,000 ",ANGELA VALLEY,Colonial,Detached,4,3,1,3,2,Yes,16510,1990,0,0,,,
Coming Soon,MDHW2000442,10735 E Crestview Ln,"$650,000 ",HAMMOND PARK,Split Foyer,Detached,4,2,,2,1,Yes,22564,1962,0,0,,,
Coming Soon,MDAA472078,1707 Forest Creek Dr,"$650,000 ",FOREST CREEK PROPERTY,Colonial,Detached,5,3,1,3,1,Yes,10424,2009,0,0,,,
Coming Soon,MDPG2001466,15817 Bradford Dr,"$655,000 ",ACCOKEEK,Contemporary,Detached,0,0,,3,1,Yes,10728,1977,0,0,,,
Coming Soon,MDHW2000234,3622 Old Manse Ct,"$675,000 ",RIVER MILLS,Colonial,Detached,4,2,1,2,1,Yes,7298,1988,0,0,,,
Coming Soon,MDAA2001026,2136 Nottoway Dr,"$680,000 ",SHIPLEY HOMESTEAD,Colonial,Detached,4,3,1,2,1,Yes,6382,2018,0,0,,,
Coming Soon,MDHW296282,4829 Woodshire Garth,"$685,000 ",BEECHWOOD HEIGHTS,Colonial,Detached,5,3,,3,1,Yes,23278,1992,0,0,,,
Coming Soon,MDMC2001556,14209 Autumn Gold Rd,"$687,000 ",THE VISTAS AT WOODCLIFFE PARK,Colonial,Detached,4,3,1,3,,Yes,12031,2001,0,0,,,
Coming Soon,MDMC2002042,14009 Saddleview Dr,"$709,900 ",POTOMAC RIDGE,Ranch/Rambler,Detached,5,3,,2,,Yes,6061,1985,0,0,,,
Coming Soon,MDHW2000440,3741 Dorsey Search Cir,"$715,000 ",GRAY ROCK FARM,Colonial,Detached,4,2,1,3,1,Yes,21789,1987,0,0,,,
Coming Soon,MDMC2001488,5 Lloydminster Ct,"$715,000 ",POTOMAC CHASE,Colonial,Detached,4,2,2,3,1,Yes,10530,1988,0,0,,,
Coming Soon,MDMC2002198,15900 Maple Ridge Ct,"$720,000 ",SYCAMORE ACRES,Colonial,Detached,4,3,2,3,1,Yes,60984,1966,0,0,,,
Coming Soon,MDAA463644,7205 Forest Ave,"$720,000 ",LENNOX PARK,"Colonial, Manor, Traditional",Detached,4,2,1,3,,Yes,32234.4,2022,0,0,,,
Coming Soon,MDMC2001920,19312 Moon Ridge,"$730,000 ",SENECA PARK NORTH,Colonial,Detached,4,3,1,3,1,Yes,7473,2000,0,0,,,
Coming Soon,MDPG2001050,7704 Kirklee Ct,"$740,000 ",NONE AVAILABLE,"Colonial, Contemporary, Traditional",Detached,4,3,1,3,1,Yes,8916,2007,0,0,,,
Coming Soon,MDCR2000112,3142 Caveat Ct,"$745,900 ",THE PADDOCKS,Colonial,Detached,4,3,1,3,2,Yes,91476,1996,0,0,,,
Coming Soon,MDMC2002524,15721 Bondy Ln,"$749,900 ",BONDBROOK,Split Level,Detached,4,2,1,5,1,Yes,45408,1977,0,0,,,
Coming Soon,MDMC2000522,12229 Morning Light Ter,"$749,900 ",QUINCE ORCHARD VALLEY,Craftsman,Detached,4,2,1,3,1,Yes,12949,1988,0,0,,,
Coming Soon,MDHW2000754,11113 Gentle Rolling Dr,"$750,000 ",WAVERLY WOODS WEST,Traditional,Detached,2,3,1,2,1,Yes,8861,2012,0,0,,,
Coming Soon,MDHW296230,6445 Fairest Dream Ln,"$750,000 ",NONE AVAILABLE,Traditional,Detached,4,3,1,3,1,Yes,12790,1995,0,0,,,
Coming Soon,MDHW296334,3605 Font Hill Dr,"$759,000 ",FONT HILL,Colonial,Detached,4,2,1,3,1,Yes,20007,1995,0,0,,,
Coming Soon,MDMC2002230,3800 Bell Rd,"$790,000 ",COLESVILLE OUTSIDE,Split Level,Detached,6,3,,5,1,Yes,87120,1977,0,0,,,
Coming Soon,MDMC762764,4928 Walkingfern Dr,"$799,000 ",ELLENWOOD,Colonial,Detached,4,3,1,3,1,Yes,18568,1984,0,0,,,
Coming Soon,MDMC2002016,107 Englefield Dr,"$819,000 ",WASHINGTONIAN WOODS,Colonial,Detached,4,2,1,3,1,Yes,9880,1989,0,0,,,
Coming Soon,MDMC2000570,12205 Pissaro Dr,"$825,000 ",QUINCE HAVEN,Colonial,Detached,4,2,,3,1,Yes,12273,1994,0,0,,,
Coming Soon,MDHW2000280,17530 Hardy Rd,"$829,850 ",MOUNT AIRY,Colonial,Detached,4,3,,3,1,Yes,130680,1991,0,0,,,
Coming Soon,MDMC2002522,12716 Commons,"$850,000 ",POTOMAC COMMONS,Split Level,Detached,4,2,1,3,1,Yes,10550,1971,0,0,,,
Coming Soon,MDHW2000752,3330 Pfefferkorn Rd,"$850,000 ",WEST FRIENDSHIP,Ranch/Rambler,Detached,3,3,1,2,2,Yes,163786,1990,0,0,,,
Coming Soon,MDMC2002606,14516 Pebble Hill Ln,"$889,000 ",NONE AVAILABLE,Contemporary,Detached,5,3,1,3,1,Yes,11475,1986,0,0,,,
Coming Soon,MDHW2000760,7167 Pindell School Rd,"$895,000 ",NONE AVAILABLE,Contemporary,Detached,7,7,1,2,2,Yes,124582,1951,0,0,,,
Coming Soon,MDMC2001116,11701 Tifton Dr,"$899,900 ",REGENCY ESTATES,Colonial,Detached,5,3,2,3,1,Yes,11688,1966,0,0,,,
Coming Soon,MDMC2001390,11201 Midvale Rd,"$899,900 ",KENSINGTON VIEW,Craftsman,Detached,5,4,1,3,1,Yes,10622,2001,0,0,,,
Coming Soon,MDHW2000750,1280 Crows Foot Rd,"$900,000 ",MARRIOTTSVILLE,Colonial,Detached,5,4,1,3,1,Yes,184259,1993,0,0,,,
Coming Soon,MDHW2000266,6500 Kilkenny Ct,"$925,000 ",CLARKS GLEN,Colonial,Detached,4,2,1,3,1,Yes,10629,1999,0,0,,,
Coming Soon,MDAA2000798,1502 Willow Branch Way,"$949,000 ",ARUNDEL FOREST,Traditional,Detached,4,3,2,3,1,Yes,13398,2018,0,0,,,
Coming Soon,MDMC764184,4920 Flint Dr,"$950,000 ",WESTGATE,Traditional,Detached,3,2,1,3,1,Yes,9025,1940,0,0,,,
Coming Soon,MDMC2000568,12701 Hunting Horn Ct,"$950,000 ",FOX HILLS WEST,"Colonial, Traditional",Detached,4,2,1,3,1,Yes,10527,1970,0,0,,,
Coming Soon,MDHW2000500,11406 Barley Field Way,"$950,000 ",WOODFORDS GRANT,Colonial,Detached,5,3,1,3,1,Yes,40000,1998,0,0,,,
Coming Soon,MDHW2000522,13517 Silent Lake Dr,"$975,000 ",SPRINGDALE ESTATES,Contemporary,Detached,5,4,1,3,2,Yes,138521,2000,0,0,,,
Coming Soon,MDMC2002054,12018 Blackberry Ter,"$989,000 ",QUINCE ORCHARD KNOLLS,Colonial,Detached,4,3,1,3,1,Yes,10112,1992,0,0,,,
Coming Soon,MDMC753976,12603 Eldrid Ct,"$999,000 ",NORTH SPRINGBROOK,Craftsman,Detached,6,4,,3,,Yes,46950,2021,0,0,,,
Coming Soon,MDMC2002484,402 Lakelands Dr,"$1,000,000 ",LAKELANDS,Colonial,Detached,4,3,1,3,1,Yes,5478,2000,0,0,,,
Coming Soon,MDMC2000710,11115 Candlelight Ln,"$1,049,000 ",INVERNESS WOODS,Colonial,Detached,4,3,1,3,1,Yes,9870,1980,0,0,,,
Coming Soon,MDHW2000676,850 Iron Rail Ct,"$1,075,000 ",MORGAN STATION,Colonial,Detached,6,4,1,4,2,Yes,187308,1991,0,0,,,
Coming Soon,MDMC2002598,9015 Honeybee Ln,"$1,099,000 ",CHARRED OAK ESTATES,"Contemporary, Mid-Century Modern",Detached,5,4,,2,2,No,22482,1961,0,0,,,
Coming Soon,MDHW2000302,2820 Millers Way Dr,"$1,198,000 ",DANIELS MILL OVERLOOK,Colonial,Detached,5,4,1,3,1,Yes,12599,2000,0,0,,,
Coming Soon,MDMC2002716,7202 Broxburn Dr,"$1,199,000 ",NONE AVAILABLE,Other,Detached,4,3,1,2,2,No,24053,1959,0,0,,,
Coming Soon,MDHW2000634,15000 Scottswood Ct,"$1,200,000 ",COUNTRY SPRINGS,Colonial,Detached,4,4,2,3,3,Yes,133729,1998,0,0,,,
Coming Soon,MDHW2000606,12108 Deer Haven Rd,"$1,200,000 ",SPRING VALLEY CHASE,Colonial,Detached,6,4,1,3,3,Yes,134600,2000,0,0,,,
Coming Soon,MDMC2002416,10 China Rose Ct,"$1,250,000 ",ROSE HILL FALLS,Colonial,Detached,4,4,1,3,1,Yes,12890,1993,0,0,,,
Coming Soon,MDHW2000498,2050 Drovers Ln,"$1,250,000 ",RESERVE AT VISTA RIDGE,Traditional,Detached,5,4,1,3,2,Yes,42035,2015,0,0,,,
Coming Soon,MDMC763252,11628 Glen Rd,"$1,395,000 ",POTOMAC,Craftsman,Detached,4,3,1,3.5,2,Yes,88427,1997,0,0,,,
Coming Soon,MDMC763620,10116 Dickens Ave,"$1,399,900 ",NORTH BETHESDA GROVE,Transitional,Detached,5,4,1,3,1,Yes,6773,2019,0,0,,,
Coming Soon,MDMC759806,5810 Bradley Blvd,"$1,695,000 ",ENGLISH VILLAGE,Craftsman,Detached,6,5,1,3,1,Yes,14224,2021,0,0,,,
Coming Soon,MDMC2001474,5316 Yorktown Rd,"$1,699,000 ",GREENACRES,Colonial,Detached,4,5,1,4,2,Yes,5250,2012,0,0,,,
Coming Soon,MDHW2000704,13208 Triadelphia Rd,"$1,700,000 ",TRIADELPHIA FARMS,Traditional,Detached,5,5,1,3,1,Yes,158123,2000,0,0,,,
Coming Soon,MDMC2002368,7908 Burdette Rd,"$1,750,000 ",AL MARAH,"Colonial, Dutch",Detached,5,5,1,3,4,Yes,15296,1979,0,0,,,
Coming Soon,MDMC2001454,10228 Holly Hill Pl Holly Hill Pl,"$1,798,000 ",POTOMAC VILLAGE,"Colonial, Traditional",Detached,6,5,1,3,2,Yes,20310,1980,0,0,,,
Coming Soon,MDHW2000400,12439 Route 216,"$1,900,999 ",HIGHLAND,Traditional,Detached,7,5,2,2,,No,100188,1899,0,0,,,
Coming Soon,MDMC2001820,8108 Hampden Ln,"$2,450,000 ",GREENWICH FOREST,"Colonial, Contemporary, Transitional",Detached,5,6,,3,1,Yes,15502,2004,0,0,,,
Coming Soon,MDMC2000780,4501 Cumberland Ave,"$2,475,000 ",SOMERSET HEIGHTS,Traditional,Detached,6,5,1,4,,Yes,7534,1955,0,0,,,
Coming Soon,MDMC2001586,12 Hesketh St,"$2,549,000 ",CHEVY CHASE,Dutch,Detached,5,5,1,3,1,Yes,7500,1920,0,0,,,
Coming Soon,MDMC2000760,4503 Cumberland Ave,"$2,575,000 ",SOMERSET HEIGHTS,Traditional,Detached,6,5,1,4,,Yes,6645,2022,0,0,,,
Coming Soon,MDMC764092,3306 Camalier Dr,"$2,690,000 ",CHEVY CHASE MANOR,Farmhouse/National Folk,Detached,6,5,1,4,1,Yes,7800,2021,0,0,,,
Active,MDCR2000406,7411 Springfield Ave,"$35,000 ",SYKESVILLE,Cottage,Detached,3,1,,2.5,,Yes,32670,1919,2,2,,,
Active,MDAA463292,300 Ferndale Rd,"$179,999 ",WINTON WOODS,Bungalow,Detached,2,1,0,2,,Yes,23811,1950,90,90,,,
Active,MDHW291840,6452 Harthorn Ave,"$194,900 ",HARWOOD PARK,Cape Cod,Detached,2,1,,3,,Yes,9000,1955,55,55,,,
Active,MDAA470678,105 E Maple Rd,"$199,000 ",LINTHICUM,Colonial,Detached,3,2,1,2,,Yes,10080,1906,22,22,,,
Active,MDBC531354,512 Rest Ave,"$224,000 ",WESTCHESTER,Ranch/Rambler,Detached,2,1,,1,,Yes,10725,1915,17,17,,,
Active,MDAA2000438,508 N Broadview Blvd N,"$224,900 ",GARLAND PARK,Cape Cod,Detached,3,1,0,3,,Yes,6000,1942,11,25,,,
Active,MDCR205360,762 Central Ave,"$289,900 ",NONE AVAILABLE,Ranch/Rambler,Detached,2,2,,1,,Yes,8200,1987,9,9,,,
Active,MDAA2000408,421 Rose Ave,"$299,900 ",GLEN BURNIE HEIGHTS,Split Foyer,Detached,2,2,0,2,,Yes,5040,1986,10,10,,,
Active,MDPG2000530,1040 Marton St,"$299,900 ",FAIRLAWN,Ranch/Rambler,Detached,3,2,,2,,Yes,6086,1951,2,2,,,
Active,MDAA471062,427 Maple Ln NW,"$299,900 ",GLEN BURNIE,Ranch/Rambler,Detached,2,2,,2,,Yes,7644,1940,22,22,,,
Active,MDPG2000588,830 White Way,"$300,000 ",FAIRLAWN-LAUREL,Ranch/Rambler,Detached,2,1,,2,,No,7573,1951,4,4,,,
Active,MDAA468578,548 Shipley Rd,"$305,000 ",SHIPLEY HEIGHTS,Cape Cod,Detached,3,3,,2,,Yes,6950,1956,41,41,,,
Active,MDAA470498,101 N Longcross Rd,"$315,000 ",LONGCROSS HOMES,Cape Cod,Detached,4,1,,3,,Yes,12635,1956,5,5,,,
Active,MDAA469760,375 Phirne Rd W,"$315,000 ",GLEN BURNIE PARK,Split Level,Detached,4,1,1,3,1,No,7226,1964,2,2,,,
Active,MDAA469384,103 Reavis Rd,"$320,000 ",AA COUNTY,Ranch/Rambler,Detached,4,2,,2,,Yes,14810,1962,12,12,,,
Active,MDMC760824,4316 Independence St,"$325,000 ",WHEATON WOODS,Ranch/Rambler,Detached,3,1,,1,,No,8459,1954,2,2,,,
Active,MDAA2000280,17 Mapledale Ave,"$325,000 ",WOODLAWN HEIGHTS,Ranch/Rambler,Detached,3,2,,2,1,Yes,8712,1964,3,3,,,
Active,MDHW2000182,9222 Feathered Head,"$325,000 ",VILLAGE OF OWEN BROWN,Ranch/Rambler,Detached,3,1,0,1,1,No,9801,1976,3,3,,,
Active,MDAA469576,763 Rosewood Rd,"$327,500 ",ELMHURST,Split Foyer,Detached,3,2,,2,1,Yes,14908,1968,34,34,,,
Active,MDHW296278,6592 Huntshire Dr,"$329,900 ",NONE AVAILABLE,Colonial,Detached,3,2,1,2,,Yes,4402,1998,16,16,,,
Active,MDHW2000628,280 E Watersville Rd,"$329,900 ",NONE AVAILABLE,"Farmhouse/National Folk, Victorian",Detached,5,2,,2,,Yes,43560,1890,4,91,,,
Active,MDCR2000294,7408 Woodbine Rd,"$330,000 ",WOODBINE,Colonial,Detached,3,1,,2,,Yes,17424,1900,1,1,,,
Active,MDCR204470,2530 Arthur Ave,"$339,900 ",NONE AVAILABLE,Ranch/Rambler,Detached,3,2,,2,,Yes,20000,1962,44,44,,,
Active,MDAA468522,246 Turnwood Dr,"$340,000 ",ALLWOOD,Raised Ranch/Rambler,Detached,3,1,,2,,Yes,7440,1972,12,12,,,
Active,MDAA2000544,718 Bangor Ct,"$340,000 ",PARKE WEST ADD,Traditional,Detached,4,1,1,2,1,Yes,11000,1972,8,8,,,
Active,MDAA2000666,218 Ridgely Rd,"$349,900 ",GLEN BURNIE PARK,Traditional,Detached,4,1,1,3,,No,12000,1956,2,2,,,
Active,MDCR205044,5977 Old Washington Rd,"$350,000 ",BERRETT,Ranch/Rambler,Detached,3,1,,1,,No,93698,1984,17,17,,,
Active,MDHW2000614,14949 Old Frederick Rd,"$350,000 ",MOUNT AIRY,Ranch/Rambler,Detached,3,2,1,2,1,Yes,128502,1962,2,2,,,
Active,MDPG607872,7108 Quill Ln,"$357,000 ",NONE AVAILABLE,Ranch/Rambler,Detached,3,1,1,1.5,,Yes,20090,1956,34,34,,,
Active,MDAA459554,202 Oakdale Rd,"$359,900 ",PARDEE,Cape Cod,Detached,5,3,,3,1,Yes,8750,1920,94,94,,,
Active,MDAA466470,107 N Hammonds Ferry Rd,"$359,900 ",NONE AVAILABLE,Traditional,Detached,4,2,,3,1,Yes,7020,1940,37,37,,,
Active,MDMC2000744,704 Hollywood Ave,"$359,999 ",EAST SPRINGBROOK,Traditional,Detached,3,1,1,1,1,Yes,11374,1954,3,3,,,
Active,MDPG2000860,1005 8th St,"$365,000 ",FAIRLAWN-LAUREL,Ranch/Rambler,Detached,4,2,,1,,No,7144,1951,6,6,,,
Active,MDAA2001446,15 2nd Ave SW,"$365,000 ",GLEN BURNIE,Colonial,Detached,4,3,,4,1,Yes,5000,1921,2,2,,,
Active,MDAA472122,7907 Chalice Rd,"$369,900 ",THE PROVINCES,Split Foyer,Detached,3,1,2,2,,Yes,6383,1973,9,9,,,
Active,MDCR205028,221 Hoods Mill Rd,"$369,963 ",WOODBINE,Colonial,Detached,4,2,,2.5,,No,22041,1940,28,28,,,
Active,MDAA471428,200 Main Ave SW,"$369,999 ",GLEN BURNIE HEIGHTS,Raised Ranch/Rambler,Detached,5,2,,2,,Yes,8190,1976,9,9,,,
